;count_words;count_wordtypes;count_toks;count_toktypes;count_sent;lexicalDiversityWords;lexicalDiversityToks;wordsPerSent;wordtypesPerSent;toksPerSent;toktypesPerSent
bild1.txt;564;292;304;219;42;0,518;0,72;13,429;6,952;7,238;5,214
bild2.txt;614;332;306;242;47;0,541;0,791;13,064;7,064;6,511;5,149
bild3.txt;318;196;165;143;23;0,616;0,867;13,826;8,522;7,174;6,217
bild4.txt;424;244;219;180;28;0,575;0,822;15,143;8,714;7,821;6,429
bild5.txt;225;148;128;104;25;0,658;0,812;9;5,92;5,12;4,16
bild6.txt;398;220;229;167;33;0,553;0,729;12,061;6,667;6,939;5,061
bild7.txt;369;226;205;161;30;0,612;0,785;12,3;7,533;6,833;5,367
bild8.txt;406;231;227;175;29;0,569;0,771;14;7,966;7,828;6,034
faz1.txt;679;355;355;270;36;0,523;0,761;18,861;9,861;9,861;7,5
faz2.txt;412;247;228;184;36;0,6;0,807;11,444;6,861;6,333;5,111
faz3.txt;910;416;495;333;71;0,457;0,673;12,817;5,859;6,972;4,69
faz4.txt;1064;515;607;421;73;0,484;0,694;14,575;7,055;8,315;5,767
sz1.txt;525;296;295;231;43;0,564;0,783;12,209;6,884;6,86;5,372
sz2.txt;1997;837;1044;711;128;0,419;0,681;15,602;6,539;8,156;5,555
sz3.txt;639;338;333;261;39;0,529;0,784;16,385;8,667;8,538;6,692
taz1.txt;947;467;496;375;73;0,493;0,756;12,973;6,397;6,795;5,137
taz2.txt;296;186;146;124;19;0,628;0,849;15,579;9,789;7,684;6,526
taz3.txt;1620;712;834;584;112;0,44;0,7;14,464;6,357;7,446;5,214
welt1.txt;1108;517;580;412;93;0,467;0,71;11,914;5,559;6,237;4,43
welt2.txt;346;197;194;145;33;0,569;0,747;10,485;5,97;5,879;4,394
welt3.txt;611;343;346;272;42;0,561;0,786;14,548;8,167;8,238;6,476
welt4.txt;893;457;484;364;68;0,512;0,752;13,132;6,721;7,118;5,353
zeit1.txt;933;502;505;402;82;0,538;0,796;11,378;6,122;6,159;4,902
zeit2.txt;1159;560;582;440;89;0,483;0,756;13,022;6,292;6,539;4,944
zeit3.txt;1020;495;524;383;70;0,485;0,731;14,571;7,071;7,486;5,471
