;bild1.txt;bild2.txt;bild3.txt;bild4.txt;bild5.txt;bild6.txt;bild7.txt;bild8.txt;faz1.txt;faz2.txt;faz3.txt;faz4.txt;sz1.txt;sz2.txt;sz3.txt;taz1.txt;taz2.txt;taz3.txt;welt1.txt;welt2.txt;welt3.txt;welt4.txt;zeit1.txt;zeit2.txt;zeit3.txt
0;('besucher', 0.010911354644561);('raus', 0.014338692980498);('asylheim', 0.016944727377843);('generalstaatsanwaltschaft', 0.012766575421662);('erfuhr', 0.018653437906502);('hasan', 0.020105212968392);('hosseini', 0.040915317326987);('geräte', 0.018474978088177);('opfern', 0.012359549442344);('bluttat', 0.019244035315931);('verbindung', 0.006647939472776);('afghanistan', 0.007584997973249);('zeitung', 0.011155017081438);('kaya', 0.005356091987249);('al-h', 0.029646216567785);('taz', 0.011273709747355);('extremisten', 0.057449589397481);('r', 0.008380935303789);('sprecher', 0.009456120801793);('h', 0.019168724483146);('fälle', 0.013306629392375);('scholz', 0.015885681916728);('mosig', 0.016609188221846);('gleich', 0.005654175324784);('efetürk', 0.013339122220152)
1;('feiernde', 0.009196973741263);('kohlmann', 0.013705294202666);('gestellt', 0.011268886514334);('anklagebehörde', 0.010017443041169);('abgelaufen', 0.017139218953251);('bgh', 0.019160000227215);('messer-killer', 0.016052341653776);('tablet', 0.012316652058785);('kirchen', 0.011813577538073);('antworten', 0.017453509152283);('terrorismus', 0.006647939472776);('forderte', 0.007228402062656);('süddeutschen', 0.009477559380827);('heine', 0.005253400445441);('kontakt', 0.009882072189262);('tobias', 0.011057560615);('gesellschaft', 0.027256164977537);('borlinghaus', 0.006704748243031);('polizeikreisen', 0.005673672481076);('nie', 0.016962525974351);('zeuge', 0.012120867127214);('afghanistan', 0.009512590433393);('krieg', 0.005536396073949);('losgerannt', 0.004803917555573);('familie', 0.008786438491912)
2;('momentan', 0.009196973741263);('halas', 0.009136862801778);('strömenden', 0.008472363688921);('müsse', 0.008490256962855);('h', 0.014526299022384);('hubschrauber', 0.013901834364089);('iran', 0.013638439108996);('kanaldeckel', 0.012316652058785);('evangelische', 0.010375422579745);('stadtjubiläums', 0.012262631655017);('vorerkenntnisse', 0.005648242459281);('endlich', 0.007228402062656);('zufolge', 0.00936425851477);('journalisten', 0.004017068990437);('issa', 0.008565701465797);('kundgebung', 0.007425957693164);('medaille', 0.019149863132493);('schü', 0.006704748243031);('hinweisportal', 0.005673672481076);('polizeilich', 0.014411752666721);('körperverletzung', 0.012120867127214);('kanzler', 0.009065372008331);('container', 0.005536396073949);('erklärung', 0.004803917555573);('moschee', 0.008373358877925)
3;('bittet', 0.007216513243474);('christina', 0.009136862801778);('regen', 0.008472363688921);('terrormiliz', 0.007573177652846);('abschiebetermin', 0.014387793030506);('handschuh', 0.01220908304517);('mechatroniker', 0.013638439108996);('wasserschaden', 0.012316652058785);('fassungslosigkeit', 0.009269662081758);('gottesdienstbesucher', 0.012262631655017);('asylunterkunft', 0.005648242459281);('syrien', 0.006909093947308);('erklärte', 0.007436678054292);('flüchtlingsunterkunft', 0.003347557492031);('sz-informationen', 0.00839603608812);('kirche', 0.007046068592097);('rechtsradikale', 0.015026164561754);('innen', 0.006704748243031);('müller', 0.005343006536969);('gemäß', 0.014411752666721);('prozent', 0.009510780459608);('müssten', 0.007220764507604);('fehlt', 0.005536396073949);('bands', 0.004803917555573);('abu', 0.008003473332092)
4;('hinweisportal', 0.007216513243474);('tochter', 0.009136862801778);('blutbeschmiert', 0.008472363688921);('presse-agentur', 0.007268310660676);('tauchte', 0.012435625271001);('weißen', 0.009580000113607);('siavash', 0.013638439108996);('unüberprüfbar', 0.012316652058785);('angehörigen', 0.008729419130823);('polarisieren', 0.012262631655017);('gefundene', 0.005648242459281);('steinmeier', 0.006909093947308);('zentimetern', 0.007436678054292);('wenige', 0.003347557492031);('sicherheitskreisen', 0.00839603608812);('unsicherheit', 0.006634536369);('seiten', 0.015026164561754);('sagt', 0.005788900669315);('vorsichtig', 0.004820482788524);('erfuhr', 0.01230742294862);('polizeibericht', 0.008080578084809);('besucht', 0.005776611606083);('kontrollieren', 0.005536396073949);('party', 0.004803917555573);('zamlah', 0.008003473332092)
5;('schwerverletzten', 0.006058018118108);('jennifer', 0.009136862801778);('hinterhof', 0.008472363688921);('terroristisch', 0.007268310660676);('übermittlungsfrist', 0.01092140631775);('landete', 0.009580000113607);('schnitt', 0.013638439108996);('tatortes', 0.012316652058785);('seelsorgern', 0.007875718358715);('trauergottesdienst', 0.012116036236215);('wohl', 0.005648242459281);('befugnisse', 0.006909093947308);('tote', 0.004738779690414);('sticht', 0.003152040267265);('ermittler', 0.00744491000947);('al-h', 0.006634536369);('hass', 0.015026164561754);('bündnis', 0.005260959295002);('bestätigte', 0.004820482788524);('al', 0.011435502557544);('allahu', 0.008080578084809);('effizienter', 0.005776611606083);('schich', 0.005536396073949);('vollen', 0.004803917555573);('tobias', 0.006280019158443)
6;('eingerichtet', 0.006058018118108);('beine', 0.009136862801778);('is-propaganda', 0.008472363688921);('toten', 0.006778767420275);('messer-attentäter', 0.01092140631775);('berg', 0.009580000113607);('nacken', 0.013638439108996);('attentäters', 0.009664405400952);('geöffnet', 0.007875718358715);('fassungslosigkeit', 0.009622017657965);('überstellt', 0.005648242459281);('kuhle', 0.006909093947308);('polizeisprecherin', 0.004738779690414);('spur', 0.003152040267265);('große', 0.007170090246343);('motto', 0.006634536369);('verhasste', 0.009574931566247);('wunden', 0.005028561182273);('informationen', 0.004762855623891);('abgeschoben', 0.010203093230517);('akbar', 0.008080578084809);('knallhart-kurs', 0.005776611606083);('laur', 0.005536396073949);('gange', 0.004803917555573);('sagt', 0.005961761870262)
7;('bedrückend', 0.006058018118108);('ursula', 0.009136862801778);('organ', 0.008472363688921);('deutschen', 0.006778767420275);('radikalisierte', 0.01092140631775);('bundesgerichtshof', 0.009156812283878);('schulter', 0.013638439108996);('handy', 0.009237489044088);('katholische', 0.007875718358715);('anlässlich', 0.009622017657965);('festgenommener', 0.005648242459281);('bundespolizei', 0.006909093947308);('todesopfer', 0.004738779690414);('hass', 0.003152040267265);('lebte', 0.007170090246343);('demonstration', 0.006634536369);('hassen', 0.009574931566247);('sozialpädagogin', 0.005028561182273);('besucher', 0.003812703232123);('tauchte', 0.008204948632413);('örtlichen', 0.008080578084809);('syrien', 0.005776611606083);('starb', 0.005536396073949);('samstagmittag', 0.004803917555573);('rechte', 0.005335648888062)
8;('eingestochen', 0.005455677322281);('traue', 0.009136862801778);('onlinedienst', 0.008472363688921);('is', 0.006512279881531);('meldete', 0.01092140631775);('uhr', 0.008643668500962);('wdr', 0.010701561102518);('entfernt', 0.008191040858437);('mohr', 0.007875718358715);('evangelische', 0.00807735749081);('begrenzung', 0.005648242459281);('sicherheitsbehörden', 0.006555848577793);('mögliches', 0.004738779690414);('solingens', 0.003049348725456);('staats', 0.006588048126175);('herrschte', 0.005636854873677);('gleichermaßen', 0.009574931566247);('le', 0.005028561182273);('zeitung', 0.003782448320717);('issa', 0.00735149120647);('bundesweit', 0.008080578084809);('müsse', 0.005122221142879);('identifizieren', 0.005536396073949);('situationen', 0.004803917555573);('demonstranten', 0.005335648888062)
9;('polizeisprecher', 0.005236052745685);('tagsüber', 0.009136862801778);('telegram', 0.008472363688921);('bundesanwaltschaft', 0.006383287710831);('überstellungsfrist', 0.01092140631775);('ermittlungsrichter', 0.008042085187357);('wunde', 0.010701561102518);('gefunden', 0.008191040858437);('gebet', 0.007875718358715);('sollen', 0.007274236429708);('zuwanderung', 0.005648242459281);('merz', 0.006067998378598);('ablauf', 0.004738779690414);('sagt', 0.002992301934882);('verbreitet', 0.006588048126175);('taz-informationen', 0.005636854873677);('gesellschaftliche', 0.009574931566247);('bilal', 0.005028561182273);('augenzeugen', 0.003782448320717);('aufgefallen', 0.007205876333361);('schwere', 0.007983977635425);('insbesondere', 0.004933140603372);('stockwerk', 0.005536396073949);('erhalte', 0.004803917555573);('mahnmal', 0.005335648888062)
