;bild.txt;faz.txt;sz.txt;taz.txt;welt.txt;zeit.txt
0;['solingen', 45, 0.02524];['solingen', 27, 0.01602];['polizei', 21, 0.01256];['menschen', 32, 0.02168];['solingen', 30, 0.0187];['solingen', 25, 0.01552]
1;['menschen', 18, 0.0101];['sagte', 20, 0.01187];['menschen', 20, 0.01196];['sagt', 23, 0.01558];['polizei', 23, 0.01434];['menschen', 25, 0.01552]
2;['polizei', 14, 0.00785];['sei', 19, 0.01128];['solingen', 18, 0.01077];['solingen', 20, 0.01355];['sagte', 18, 0.01122];['sagt', 24, 0.0149]
3;['täter', 13, 0.00729];['menschen', 15, 0.0089];['sei', 18, 0.01077];['stadt', 15, 0.01016];['täter', 15, 0.00935];['täter', 16, 0.00993]
4;['messer', 12, 0.00673];['anschlag', 14, 0.00831];['täter', 15, 0.00897];['anschlag', 13, 0.00881];['welt', 15, 0.00935];['stadt', 15, 0.00931]
5;['issa', 12, 0.00673];['deutschland', 14, 0.00831];['anschlag', 15, 0.00897];['vielfalt', 9, 0.0061];['sei', 14, 0.00873];['polizei', 13, 0.00807]
6;['al', 12, 0.00673];['mehr', 11, 0.00653];['stadt', 14, 0.00837];['deutschland', 9, 0.0061];['menschen', 14, 0.00873];['sei', 10, 0.00621]
7;['is', 12, 0.00673];['wurde', 10, 0.00593];['sagt', 13, 0.00778];['seit', 8, 0.00542];['wurde', 12, 0.00748];['schon', 9, 0.00559]
8;['wurde', 11, 0.00617];['täter', 9, 0.00534];['mann', 11, 0.00658];['steht', 7, 0.00474];['stadt', 11, 0.00686];['solinger', 8, 0.00497]
9;['drei', 10, 0.00561];['polizei', 9, 0.00534];['fronhof', 10, 0.00598];['stimmung', 7, 0.00474];['scholz', 11, 0.00686];['zwei', 8, 0.00497]
10;['wegen', 10, 0.00561];['abgeschoben', 9, 0.00534];['zwei', 9, 0.00538];['wurde', 7, 0.00474];['tat', 10, 0.00623];['uhr', 8, 0.00497]
11;['syrer', 10, 0.00561];['reul', 9, 0.00534];['tat', 9, 0.00538];['sei', 7, 0.00474];['worden', 9, 0.00561];['nacht', 7, 0.00435]
12;['acht', 9, 0.00505];['land', 8, 0.00475];['stunden', 9, 0.00538];['viele', 7, 0.00474];['sonntag', 8, 0.00499];['samstag', 7, 0.00435]
13;['mann', 9, 0.00505];['tat', 8, 0.00475];['al-h', 9, 0.00538];['täter', 6, 0.00407];['drei', 7, 0.00436];['steht', 7, 0.00435]
14;['anschlag', 9, 0.00505];['viele', 7, 0.00415];['innenstadt', 8, 0.00478];['mann', 6, 0.00407];['reul', 7, 0.00436];['immer', 7, 0.00435]
15;['schwer', 9, 0.00505];['mann', 7, 0.00415];['bühne', 8, 0.00478];['fünf', 6, 0.00407];['anschlag', 7, 0.00436];['vielfalt', 7, 0.00435]
16;['nrw', 9, 0.00505];['syrer', 7, 0.00415];['später', 8, 0.00478];['tat', 6, 0.00407];['h', 7, 0.00436];['tatort', 7, 0.00435]
17;['opfer', 9, 0.00505];['worden', 7, 0.00415];['wurde', 8, 0.00478];['angst', 6, 0.00407];['deutschland', 7, 0.00436];['anschlag', 7, 0.00435]
18;['stadt', 9, 0.00505];['sicherheitsbehörden', 7, 0.00415];['issa', 8, 0.00478];['solinger', 6, 0.00407];['opfer', 6, 0.00374];['angst', 7, 0.00435]
19;['islamischer', 9, 0.00505];['solinger', 6, 0.00356];['drei', 7, 0.00419];['extremisten', 6, 0.00407];['zwei', 6, 0.00374];['tat', 7, 0.00435]
20;['staat', 9, 0.00505];['seit', 6, 0.00356];['mehrere', 7, 0.00419];['drei', 5, 0.00339];['besucher', 6, 0.00374];['drei', 6, 0.00372]
