;bild.txt;faz.txt;sz.txt;taz.txt;welt.txt;zeit.txt
0;('hasan', 0.003927852637943);('bluttat', 0.002770864986529);('al-h', 0.002568236418945);('extremisten', 0.003163216464975);('polizeikreisen', 0.001940526808937);('mosig', 0.002898142459529)
1;('hosseini', 0.002618568425296);('fassungslosigkeit', 0.002309054155441);('staats', 0.001861605862162);('r', 0.002636013720812);('prozent', 0.001940526808937);('efetürk', 0.002415118716274)
2;('al', 0.002026001092523);('evangelische', 0.001698948088022);('kaya', 0.001861605862162);('taz', 0.002108810976649);('fälle', 0.001784742848078);('gleich', 0.00193209497302)
3;('bild-informationen', 0.00174571228353);('kirchen', 0.001385432493265);('heine', 0.001426798010526);('demonstration', 0.002108810976649);('erfuhr', 0.001487285706732);('abu', 0.001449071229765)
4;('beanspruchte', 0.00174571228353);('zugleich', 0.001385432493265);('verbreitet', 0.001396204396622);('rechtsextremen', 0.002108810976649);('sprecher', 0.001487285706732);('zamlah', 0.001449071229765)
5;('messer-killer', 0.00174571228353);('rheinischen', 0.001385432493265);('journalisten', 0.001396204396622);('debatte', 0.002108810976649);('zeuge', 0.001455395106702);('angst', 0.001308013637274)
6;('kohlmann', 0.001309284212648);('post', 0.001385432493265);('möglichen', 0.000930802931081);('borlinghaus', 0.002108810976649);('körperverletzung', 0.001455395106702);('hause', 0.001184658608863)
7;('terror-organisation', 0.001309284212648);('antrag', 0.001385432493265);('süddeutschen', 0.000930802931081);('schü', 0.002108810976649);('h', 0.001313721926214);('moschee', 0.001184658608863)
8;('anklagebehörde', 0.001309284212648);('islamistischer', 0.001385432493265);('genauen', 0.000930802931081);('innen', 0.002108810976649);('scholz', 0.001207608385045);('gerade', 0.001121154546234)
9;('wunde', 0.001309284212648);('extremist', 0.001385432493265);('hören', 0.000930802931081);('tobias', 0.001616264413007);('kanzler', 0.001189828565386);('schon', 0.00098375005059)
10;('geräte', 0.001309284212648);('steinmeier', 0.001385432493265);('handelte', 0.000930802931081);('zivilgesellschaft', 0.001581608232487);('al', 0.001126047365327);('krieg', 0.00096604748651)
11;('terrormiliz', 0.001181833970638);('befugnisse', 0.001385432493265);('heiße', 0.000930802931081);('instrumentalisieren', 0.001581608232487);('müssten', 0.001126047365327);('container', 0.00096604748651)
